ticker,status,exchange,subindustry
A,COMPLIANT,NYSE,Life Sciences Tools & Services
AA,COMPLIANT,NYSE,Aluminum
AAOI,COMPLIANT,NASDAQ,Communications Equipment
AAON,COMPLIANT,NASDAQ,Building Products
AAPL,COMPLIANT,NASDAQ,"Technology Hardware, Storage & Peripherals"
ABBV,NON_COMPLIANT,NYSE,Biotechnology
ABT,COMPLIANT,NYSE,Health Care Equipment
ACM,COMPLIANT,NYSE,Construction & Engineering
ACN,NON_COMPLIANT,NYSE,IT Consulting & Other Services
ADBE,COMPLIANT,NASDAQ,Application Software
ADI,QUESTIONABLE,NASDAQ,Semiconductors
ADM,NON_COMPLIANT,NYSE,Agricultural Products & Services
ADSK,COMPLIANT,NASDAQ,Application Software
AEIS,COMPLIANT,NASDAQ,Electronic Equipment & Instruments
AGCO,NON_COMPLIANT,NYSE,Agricultural & Farm Machinery
AHR,NON_COMPLIANT,NYSE,Diversified REITs
AIT,COMPLIANT,NYSE,Trading Companies & Distributors
AKAM,COMPLIANT,NASDAQ,Internet Services & Infrastructure
ALAB,COMPLIANT,NASDAQ,Semiconductors
ALB,COMPLIANT,NYSE,Specialty Chemicals
ALGM,COMPLIANT,NASDAQ,Semiconductors
ALGN,COMPLIANT,NASDAQ,Health Care Supplies
ALLE,COMPLIANT,NYSE,Building Products
ALNY,COMPLIANT,NASDAQ,Biotechnology
AMAT,COMPLIANT,NASDAQ,Semiconductor Materials & Equipment
AMD,COMPLIANT,NASDAQ,Semiconductors
AMKR,COMPLIANT,NASDAQ,Semiconductor Materials & Equipment
ANET,COMPLIANT,NYSE,Communications Equipment
AOS,COMPLIANT,NYSE,Building Products
APA,NON_COMPLIANT,NASDAQ,Oil & Gas Exploration & Production
APD,COMPLIANT,NYSE,Industrial Gases
APG,COMPLIANT,NYSE,Construction & Engineering
APP,QUESTIONABLE,NASDAQ,Application Software
APPF,COMPLIANT,NASDAQ,Application Software
AR,COMPLIANT,NYSE,Oil & Gas Exploration & Production
ARW,NON_COMPLIANT,NYSE,Technology Distributors
AS,COMPLIANT,NYSE,"Apparel, Accessories & Luxury Goods"
ASND,COMPLIANT,NASDAQ,Biotechnology
ATO,NON_COMPLIANT,NYSE,Gas Utilities
ATR,COMPLIANT,NYSE,"Metal, Glass & Plastic Containers"
AU,NON_COMPLIANT,NYSE,Gold
AUGO,NON_COMPLIANT,NASDAQ,Gold
AUR,NON_COMPLIANT,NASDAQ,Application Software
AVB,NON_COMPLIANT,NYSE,Multi-Family Residential REITs
AVGO,COMPLIANT,NASDAQ,Semiconductors
AVT,NON_COMPLIANT,NASDAQ,Technology Distributors
AVTR,NON_COMPLIANT,NYSE,Life Sciences Tools & Services
AVY,COMPLIANT,NYSE,Paper & Plastic Packaging Products & Materials
AWI,COMPLIANT,NYSE,Building Products
AXSM,COMPLIANT,NASDAQ,Pharmaceuticals
AYI,COMPLIANT,NYSE,Electrical Components & Equipment
AZO,COMPLIANT,NYSE,Automotive Retail
BBY,COMPLIANT,NYSE,Computer & Electronics Retail
BDX,COMPLIANT,NYSE,Health Care Equipment
BE,COMPLIANT,NYSE,Heavy Electrical Equipment
BEPC,NON_COMPLIANT,NYSE,Renewable Electricity
BFAM,COMPLIANT,NYSE,Education Services
BG,NON_COMPLIANT,NYSE,Agricultural Products & Services
BIIB,COMPLIANT,NASDAQ,Biotechnology
BIO,NON_COMPLIANT,NYSE,Life Sciences Tools & Services
BIRK,COMPLIANT,NYSE,Footwear
BKNG,QUESTIONABLE,NASDAQ,"Hotels, Resorts & Cruise Lines"
BKR,NON_COMPLIANT,NASDAQ,Oil & Gas Equipment & Services
BLDR,COMPLIANT,NYSE,Building Products
BMNR,NON_COMPLIANT,NYSE,Application Software
BMRN,COMPLIANT,NASDAQ,Biotechnology
BRKR,COMPLIANT,NASDAQ,Life Sciences Tools & Services
BROS,COMPLIANT,NYSE,Restaurants
BSX,COMPLIANT,NYSE,Health Care Equipment
BSY,COMPLIANT,NASDAQ,Application Software
BURL,COMPLIANT,NYSE,Apparel Retail
BWA,NON_COMPLIANT,NYSE,Automotive Parts & Equipment
CAH,COMPLIANT,NYSE,Health Care Distributors
CAI,COMPLIANT,NASDAQ,Biotechnology
CARR,COMPLIANT,NYSE,Building Products
CART,QUESTIONABLE,NASDAQ,Food Retail
CAVA,QUESTIONABLE,NYSE,Restaurants
CBRE,QUESTIONABLE,NYSE,Real Estate Services
CDE,NON_COMPLIANT,NYSE,Gold
CDNS,COMPLIANT,NASDAQ,Application Software
CDW,COMPLIANT,NASDAQ,Technology Distributors
CEG,NON_COMPLIANT,NASDAQ,Electric Utilities
CELH,COMPLIANT,NASDAQ,Soft Drinks & Non-alcoholic Beverages
CF,COMPLIANT,NYSE,Fertilizers & Agricultural Chemicals
CGNX,COMPLIANT,NASDAQ,Electronic Equipment & Instruments
CHD,COMPLIANT,NYSE,Household Products
CHE,COMPLIANT,NYSE,Health Care  Services
CHRW,COMPLIANT,NASDAQ,Air Freight & Logistics
CHTR,NON_COMPLIANT,NASDAQ,Cable & Satellite
CHWY,NON_COMPLIANT,NYSE,Other Specialty Retail
CIEN,COMPLIANT,NYSE,Communications Equipment
CL,COMPLIANT,NYSE,Household Products
CLH,COMPLIANT,NYSE,Environmental & Facilities Services
CLX,COMPLIANT,NYSE,Household Products
CMG,QUESTIONABLE,NYSE,Restaurants
CMI,COMPLIANT,NYSE,Construction Machinery & Heavy Transportation Equipment
CNM,COMPLIANT,NYSE,Trading Companies & Distributors
COHR,COMPLIANT,NYSE,Electronic Components
COKE,COMPLIANT,NASDAQ,Soft Drinks & Non-alcoholic Beverages
COLM,COMPLIANT,NASDAQ,"Apparel, Accessories & Luxury Goods"
COO,NON_COMPLIANT,NASDAQ,Health Care Supplies
COP,NON_COMPLIANT,NYSE,Oil & Gas Exploration & Production
COR,COMPLIANT,NYSE,Health Care Distributors
CORT,COMPLIANT,NASDAQ,Pharmaceuticals
CPNG,COMPLIANT,NYSE,Broadline Retail
CPRT,COMPLIANT,NASDAQ,Diversified Support Services
CRDO,COMPLIANT,NASDAQ,Semiconductors
