ticker,sector
A,Healthcare
AA,Basic Materials
AAOI,Technology
AAON,Industrials
AAPL,Technology
ABBV,Healthcare
ABT,Healthcare
ACM,Industrials
ACN,Technology
ADBE,Technology
ADI,Technology
ADM,Consumer Defensive
ADSK,Technology
AEIS,Industrials
AGCO,Industrials
AHR,Real Estate
AIT,Industrials
AKAM,Technology
ALAB,Technology
ALB,Basic Materials
ALGM,Technology
ALGN,Healthcare
ALLE,Industrials
ALNY,Healthcare
AMAT,Technology
AMD,Technology
AMKR,Technology
ANET,Technology
AOS,Industrials
APA,Energy
APD,Basic Materials
APG,Industrials
APP,Communication Services
APPF,Technology
AR,Energy
ARW,Technology
AS,Consumer Cyclical
ASND,Healthcare
ATO,Utilities
ATR,Healthcare
AU,Basic Materials
AUGO,Basic Materials
AUR,Consumer Cyclical
AVB,Real Estate
AVGO,Technology
AVT,Technology
AVTR,Healthcare
AVY,Consumer Cyclical
AWI,Industrials
AXSM,Healthcare
AYI,Industrials
AZO,Consumer Cyclical
BBY,Consumer Cyclical
BDX,Healthcare
BE,Industrials
BEPC,Utilities
BFAM,Consumer Cyclical
BG,Consumer Defensive
BIIB,Healthcare
BIO,Healthcare
BIRK,Consumer Cyclical
BKNG,Consumer Cyclical
BKR,Energy
BLDR,Industrials
BMNR,Financial Services
BMRN,Healthcare
BRKR,Healthcare
BROS,Consumer Cyclical
BSX,Healthcare
BSY,Technology
BURL,Consumer Cyclical
BWA,Consumer Cyclical
CAH,Healthcare
CAI,Healthcare
CARR,Industrials
CART,Consumer Cyclical
CAVA,Consumer Cyclical
CBRE,Real Estate
CDE,Basic Materials
CDNS,Technology
CDW,Technology
CEG,Utilities
CELH,Consumer Defensive
CF,Basic Materials
CGNX,Technology
CHD,Consumer Defensive
CHE,Healthcare
CHRW,Industrials
CHWY,Consumer Cyclical
CIEN,Technology
CL,Consumer Defensive
CLH,Industrials
CLX,Consumer Defensive
CMG,Consumer Cyclical
CMI,Industrials
CNM,Industrials
COHR,Technology
COKE,Consumer Defensive
COLM,Consumer Cyclical
COO,Healthcare
COP,Energy
COR,Healthcare
CORT,Healthcare
CPNG,Consumer Cyclical
CPRT,Industrials
CRDO,Technology
CRH,Basic Materials
CRL,Healthcare
CRM,Technology
CROX,Consumer Cyclical
CRUS,Technology
CRWD,Technology
CSCO,Technology
CSGP,Real Estate
CSL,Industrials
CSX,Industrials
CTAS,Industrials
CTSH,Technology
CTVA,Basic Materials
CVNA,Consumer Cyclical
DAL,Industrials
DASH,Consumer Cyclical
DCI,Industrials
DD,Basic Materials
DDOG,Technology
DDS,Consumer Cyclical
DECK,Consumer Cyclical
DGX,Healthcare
DHI,Consumer Cyclical
DHR,Healthcare
DINO,Energy
DKS,Consumer Cyclical
DLR,Real Estate
DLTR,Consumer Defensive
DOCN,Technology
DOCU,Technology
DOV,Industrials
DOW,Basic Materials
DOX,Technology
DT,Technology
DTM,Energy
DUOL,Technology
DVN,Energy
DXCM,Healthcare
