ticker,source
A,both
AA,mnzl
AAOI,mnzl
AAON,mnzl
AAPL,both
ABBV,spus
ABT,both
ACM,mnzl
ACN,spus
ADBE,both
ADI,both
ADM,both
ADSK,both
AEIS,mnzl
AGCO,mnzl
AHR,mnzl
AIT,mnzl
AKAM,both
ALAB,mnzl
ALB,both
ALGM,mnzl
ALGN,both
ALLE,both
ALNY,mnzl
AMAT,both
AMD,both
AMKR,mnzl
ANET,both
AOS,both
APA,mnzl
APD,both
APG,mnzl
APP,mnzl
APPF,mnzl
AR,mnzl
ARW,mnzl
AS,mnzl
ASND,mnzl
ATO,mnzl
ATR,mnzl
AU,mnzl
AUGO,mnzl
AUR,mnzl
AVGO,both
AVT,mnzl
AVTR,mnzl
AVY,both
AWI,mnzl
AXSM,mnzl
AYI,mnzl
AZO,both
BBY,spus
BDX,both
BE,mnzl
BEPC,mnzl
BFAM,mnzl
BG,mnzl
BIIB,both
BIO,mnzl
BIRK,mnzl
BKNG,spus
BKR,mnzl
BLDR,both
BMNR,mnzl
BMRN,mnzl
BRKR,mnzl
BROS,mnzl
BSX,both
BSY,mnzl
BURL,mnzl
BWA,mnzl
CAH,both
CAI,mnzl
CARR,both
CART,mnzl
CAVA,mnzl
CBRE,mnzl
CDE,mnzl
CDNS,both
CDW,both
CEG,spus
CELH,mnzl
CF,both
CGNX,mnzl
CHD,both
CHE,mnzl
CHRW,both
CHWY,mnzl
CIEN,both
CL,both
CLH,mnzl
CLX,both
CMG,mnzl
CMI,both
CNM,mnzl
COHR,both
COKE,mnzl
COLM,mnzl
COO,both
COP,both
COR,both
CORT,mnzl
CPNG,mnzl
CPRT,both
CRDO,mnzl
CRH,both
CRL,both
CRM,both
CROX,mnzl
CRUS,mnzl
CRWD,both
CSCO,spus
CSGP,both
CSL,mnzl
CSX,both
CTAS,both
CTSH,spus
CTVA,both
CVNA,mnzl
DAL,mnzl
DASH,spus
DCI,mnzl
DD,both
DDOG,mnzl
DDS,mnzl
DECK,both
DGX,mnzl
DHI,both
DHR,both
DINO,mnzl
DKS,mnzl
DLR,mnzl
DLTR,mnzl
DOCN,mnzl
DOCU,mnzl
DOV,both
DOW,mnzl
DOX,mnzl
DT,mnzl
DTM,mnzl
DUOL,mnzl
DVN,both
DXCM,both
EBAY,both
ECG,mnzl
ECL,both
EFX,spus
EGP,mnzl
EHC,mnzl
EL,both
ELF,mnzl
ELS,mnzl
EME,mnzl
EMR,both
ENPH,mnzl
ENSG,mnzl
ENTG,mnzl
EOG,both
EPAM,mnzl
EQIX,both
ESAB,mnzl
ESI,mnzl
ESTC,mnzl
EW,both
EXE,mnzl
EXEL,mnzl
EXP,mnzl
EXPD,both
EXPE,spus
FAST,both
FCN,mnzl
FCX,spus
FDX,mnzl
FDXF,both
FERG,mnzl
FFIV,both
FICO,both
FIVE,mnzl
FIX,both
FLEX,both
FLS,mnzl
FN,mnzl
FND,mnzl
FORM,mnzl
FPS,mnzl
FRPT,mnzl
FSLR,spus
FTAI,mnzl
FTI,mnzl
FTNT,both
FTV,mnzl
G,mnzl
GAP,mnzl
GDDY,both
GEHC,both
GEV,both
GFS,mnzl
GGG,mnzl
GH,mnzl
GILD,both
GLW,both
GLXY,mnzl
GMED,mnzl
GNRC,both
GNTX,mnzl
GOOGL,spus
GPC,both
GRMN,both
GSAT,mnzl
GTES,mnzl
GTLB,mnzl
GWW,both
GXO,mnzl
HAL,both
HALO,mnzl
HAYW,mnzl
HD,both
HL,mnzl
HPQ,mnzl
HRB,mnzl
HSIC,mnzl
HSY,both
HUBB,both
HUBS,mnzl
IBM,spus
IDXX,both
IESC,mnzl
IEX,both
IFF,mnzl
ILMN,mnzl
INCY,both
INGM,mnzl
INSM,mnzl
IONQ,mnzl
IONS,mnzl
IP,mnzl
IPGP,mnzl
IR,both
ISRG,both
IT,both
ITW,both
J,mnzl
JAN,mnzl
JBHT,both
JBL,both
JCI,both
JHX,mnzl
JLL,mnzl
JNJ,both
KD,mnzl
KEX,mnzl
KEYS,mnzl
KHC,mnzl
KLAC,both
KMB,both
KNX,mnzl
KVUE,both
KVYO,mnzl
LBRDA,mnzl
LBRDK,mnzl
LEA,mnzl
LECO,mnzl
LEN,mnzl
LEN-B,mnzl
LFUS,mnzl
LH,both
LII,both
LIN,both
LINE,mnzl
LITE,both
LKQ,mnzl
LLY,both
LLYVA,mnzl
LLYVK,mnzl
LOAR,mnzl
LOPE,mnzl
LOW,both
LPX,mnzl
LRCX,both
LSCC,mnzl
LSTR,mnzl
LULU,both
LUV,mnzl
LYFT,mnzl
M,mnzl
MAA,spus
MANH,mnzl
MAR,mnzl
MAS,both
MCHP,both
MCK,both
MDB,mnzl
MDGL,mnzl
MDLN,mnzl
MDLZ,both
MDT,both
MEDP,mnzl
MFP,mnzl
MHK,mnzl
MIDD,mnzl
MKC,both
MLI,mnzl
MLM,both
MMM,both
MNST,both
MOD,mnzl
MOS,mnzl
MPWR,both
MRK,both
MRVL,both
MSA,mnzl
MSFT,spus
MSM,mnzl
MSTR,mnzl
MTD,both
MTDR,mnzl
MTSI,mnzl
MTZ,mnzl
MU,both
MWH,mnzl
NBIX,mnzl
NDSN,both
NEM,both
NEU,mnzl
NFG,mnzl
NKE,both
NOV,mnzl
NOW,both
NSC,both
NTAP,both
NTNX,mnzl
NTRA,mnzl
NUE,both
NVDA,spus
NVR,mnzl
NVST,mnzl
NVT,mnzl
NXPI,spus
NXT,mnzl
ODFL,both
OKTA,mnzl
OLLI,mnzl
ON,both
ONON,mnzl
ONTO,mnzl
ORCL,both
